Section,Task,Subtask,Workstream,Decision Gate,Blocker,Requires Stakeholder Decision,CRM Environment,Effort,Priority,Baseline / Target Metric,Assignee Primary,Assignee Secondary,Milestone,Depends On,Related Docs
Growth Enablement,Website forms → CRM integration audit,Confirm new leads land as Referral / New Referral,Growth,No,No,No,Discovery,M,P2,,Avi,Keren,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md; https://github.com/klacadin/evo-growth/blob/master/src/app/api/webhooks/crm/route.ts
Growth Enablement,,Confirm source attribution preserved,Growth,No,No,No,Discovery,M,P2,,Avi,Keren,No,,
Growth Enablement,,Test end-to-end from form submit to Leads list,Growth,No,No,No,Discovery,M,P2,,Avi,Keren,No,,
Growth Enablement,LeadTrap / Ava integration,Map bot qualification to Referral sub-status transitions,Growth,No,No,No,Discovery,L,P3,,Keren,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md
Growth Enablement,,Ensure drop reasons flow to Episode.outcome,Growth,No,No,No,Discovery,L,P3,,Keren,,No,,
Growth Enablement,,Conversion reporting: qualified referral → active patient,Growth,No,No,No,Discovery,L,P3,,Keren,,No,,
Growth Enablement,Meta / paid social attribution,Connect campaign IDs to referral source,Growth,No,No,No,Discovery,M,P3,,Keren,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md
Growth Enablement,,Build drop reason by campaign report,Growth,No,No,No,Discovery,M,P3,,Keren,,No,,
Growth Enablement,,Define retargeting audience rules (exclude active patients),Growth,No,No,No,Discovery,M,P3,,Keren,,No,,
Growth Enablement,"Referral partner tracking (doctors, case managers)",Standardize referral_partner field usage,Growth,No,No,No,Discovery,M,P2,,Keren,Angelo,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
Growth Enablement,,Partner conversion and drop reason reporting,Growth,No,No,No,Discovery,M,P2,,Keren,Angelo,No,,
Growth Enablement,,Geography trends by partner,Growth,No,No,No,Discovery,M,P2,,Keren,Angelo,No,,
Growth Enablement,Growth dashboard — qualified referral → active patient,Cohort conversion rate by source,Growth,No,No,No,Discovery,M,P2,,Avi,"Keren, Angelo",No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md
Growth Enablement,,Drop reason by source and LOB,Growth,No,No,No,Discovery,M,P2,,Avi,"Keren, Angelo",No,,
Growth Enablement,,LOB demand signal by source,Growth,No,No,No,Discovery,M,P2,,Avi,"Keren, Angelo",No,,
Growth Enablement,,Monthly growth review template for leadership,Growth,No,No,No,Discovery,M,P2,,Avi,"Keren, Angelo",No,,
